Name and Date,State,Duration,Ongoing
Montefiore — January 2026,New York,28,No
Mount Sinai — January 2026,New York,28,No
NewYork-Presbyterian — January 2026,New York,37,Yes
Kaiser Permanente — January 2026,"California, Hawaii",23,Yes
Providence — January 2025,Oregon,45,No
San Joaquin General Hospital (SJGH) in French Camp — January 2025,California,1,No
University Medical Center in New Orleans — February 2025,Louisiana,2,No
Geisinger — February 2025,Pennsylvania,5,No
San Joaquin General Hospital (SJGH) in French Camp — March 2025,California,3,No
Beth Israel Deaconess Hospital in Plymouth — March 2025,Massachusetts,1,No
University Medical Center in New Orleans — May 2025,Louisiana,1,No
Butler Hospital in Providence — May 2025,Rhode Island,96,No
MemorialCare Long Beach Medical Center — May 2025,California,1,No
Miller Children's and Women's Hospital Long Beach — May 2025,California,1,No
Alhambra Hospital Medical Center in Alhambra — May 2025,California,1,No
Henry Ford Rochester Hospital in Rochester Hills — June 2025,Michigan,5,No
HealthPartners Stillwater Medical Group in Stillwater — July 2025,Minnesota,4,No
University Medical Center in New Orleans — July 2025,Louisiana,2,No
West Anaheim Medical Center in Anaheim — August 2025,California,1,No
Henry Ford Genesys Hospital in Grand Blanc — September 2025,Michigan,170,Yes
VNA of Cape Cod Healthcare — October 2025,Massachusetts,3,No
San Ramon Regional Medical Center in San Ramon — October 2025,California,1,No
Doctors — October 2025,California,1,No
Emanuel Medical Center in Turlock — October 2025,California,1,No
Desert Regional Medical Center in Palm Springs — October 2025,California,1,No
Hi-Desert Medical Center in Joshua Tree — October 2025,California,1,No
Keck Hospital of USC in Los Angeles — October 2025,California,1,No
USC Norris Cancer Center in Los Angeles — October 2025,California,1,No
University Medical Center in New Orleans — November 2025,Louisiana,3,No
Houlton Regional Hospital in Houlton — November 2025,Maine,2,No
Sharp — November 2025,California,3,No
Legacy Health Advanced Practice Providers in Portland — December 2025,Oregon,29,No
Kapiolani Medical Center for Women & Children in Honolulu — January 2024,Hawaii,7,No
Ascension Saint Joseph in Joliet — February 2024,Illinois,4,No
PeaceHealth Sacred Heart Home Care Service in Springfield — February 2024,Oregon,14,No
Seton Medical Center in Daly City — March 2024,California,2,No
